date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:47:26	3203/3203	---M--	200	added ('OK')	image/png	etag:%225c34f795-c83%22	http://killtowndeathfest.com/wp-content/plugins/social-sharing-toolkit/images/delicious_counters_hover.png	web/images/delicious_counters_hover.png	(from http://killtowndeathfest.com/wp-content/plugins/social-sharing-toolkit/style_2.1.2.css?ver=4.9.9)
22:47:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Jan%202020%2021:47:25%20GMT	http://killtowndeathfest.com/?p=312	web/index8844.html	(from http://killtowndeathfest.com/program/)
22:47:26	2242/2242	---MCZ	200	added ('OK')	application/json	date:Wed,%2022%20Jan%202020%2021:47:24%20GMT	http://killtowndeathfest.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkilltowndeathfest.com%2Fprogram%2F	web/images/embed9ff8.json	(from http://killtowndeathfest.com/program/)
22:47:28	2338/2338	---MCZ	200	added ('OK')	text/xml	date:Wed,%2022%20Jan%202020%2021:47:26%20GMT	http://killtowndeathfest.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkilltowndeathfest.com%2Fprogram%2F&format=xml	web/images/embed95c6	(from http://killtowndeathfest.com/program/)
22:47:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Jan%202020%2021:47:29%20GMT	http://killtowndeathfest.com/?p=12	web/index678b.html	(from http://killtowndeathfest.com/practical-info/)
22:47:30	2271/2271	---MCZ	200	added ('OK')	application/json	date:Wed,%2022%20Jan%202020%2021:47:28%20GMT	http://killtowndeathfest.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkilltowndeathfest.com%2Fpractical-info%2F	web/images/embed9adb.json	(from http://killtowndeathfest.com/practical-info/)
22:47:32	192757/192757	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225c34f795-2f0f5%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/images/background-green.jpg	web/images/background-green.jpg	(from http://killtowndeathfest.com/wp-content/themes/ktdf-theme/css/green.css?ver=4.9.9)
22:47:32	2367/2367	---MCZ	200	added ('OK')	text/xml	date:Wed,%2022%20Jan%202020%2021:47:30%20GMT	http://killtowndeathfest.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkilltowndeathfest.com%2Fpractical-info%2F&format=xml	web/images/embed3bd6	(from http://killtowndeathfest.com/practical-info/)
22:47:32	2226/2226	---MCZ	200	added ('OK')	application/json	date:Wed,%2022%20Jan%202020%2021:47:32%20GMT	http://killtowndeathfest.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fkilltowndeathfest.com%2Fbands%2F	web/images/embed16e2.json	(from http://killtowndeathfest.com/bands/)
22:47:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Jan%202020%2021:47:33%20GMT	http://killtowndeathfest.com/?p=18	web/index0735.html	(from http://killtowndeathfest.com/bands/)
